drug,smile,file,n_true,n_ctrl
2-Methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0019.npz,271,1000
Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0020.npz,477,1000
SRT3025,COCCCc1sc(-c2ccccc2)nc1C(=O)Nc1ccccc1-c1nc2cc(CN3CCCC3)cnc2s1.Cl,0021.npz,455,1000
BMS-265246,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,0022.npz,297,1000
Capecitabine,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,0023.npz,490,1000
Tranylcypromine,*.Cl.N[C@@H]1C[C@H]1c1ccccc1,0024.npz,482,1000
ZM,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,0025.npz,295,1000
Curcumin,COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,0026.npz,446,1000
Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,0027.npz,275,1000
Tie2,COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,0028.npz,342,1000
ITSA-1,O=C(c1ccc(Cl)cc1Cl)n1nnc2ccccc21,0029.npz,328,1000
Triamcinolone,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0030.npz,479,1000
Entacapone,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,0031.npz,442,1000
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0032.npz,511,1000
Sirtinol,CC(NC(=O)c1ccccc1N=Cc1c(O)ccc2ccccc12)c1ccccc1,0033.npz,424,1000
ABT-737,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],0034.npz,335,1000
Fasudil,Cl.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0035.npz,593,1000
PJ34,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,0036.npz,381,1000
Divalproex,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],0037.npz,499,1000
Tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,0038.npz,539,1000
Streptozotocin,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,0039.npz,460,1000
Hesperadin,CCS(=O)(=O)Nc1ccc2c(c1)C(=C(Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,0040.npz,225,1000
Enzastaurin,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,0041.npz,356,1000
TGX-221,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,0042.npz,339,1000
S-Ruxolitinib,N#CC[C@@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0043.npz,396,1000
Avagacestat,NC(=O)C(CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,0044.npz,491,1000
Dacinostat,O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,0045.npz,435,1000
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,0046.npz,343,1000
S3I-201,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,0047.npz,429,1000
Daphnetin,O=c1ccc2ccc(O)c(O)c2o1,0048.npz,406,1000
G007-LK,CS(=O)(=O)c1ccc(-c2nnc(C=Cc3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1,0049.npz,353,1000
PCI-34051,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,0050.npz,324,1000
AZ,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,0051.npz,235,1000
Ellagic,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,0052.npz,482,1000
Patupilone,C/C(=C\c1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,0053.npz,160,1000
Regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0054.npz,110,1000
PHA-680632,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,0055.npz,176,1000
Givinostat,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1.Cl.O,0056.npz,418,1000
Tubastatin,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1.Cl,0057.npz,452,1000
Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0058.npz,395,1000
Quisinostat,Cl.Cl.Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,0059.npz,448,1000
Bisindolylmaleimide,CS(=O)(=O)O.Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,0060.npz,32,1000
Panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,0061.npz,508,1000
Sodium,O=C(CCCc1ccccc1)O[Na],0062.npz,392,1000
SRT1720,Cl.O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,0063.npz,414,1000
Momelotinib,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0064.npz,221,1000
Obatoclax,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,0065.npz,149,1000
MLN8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,0066.npz,388,1000
Alisertib,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,0067.npz,233,1000
Raltitrexed,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,0068.npz,312,1000
Entinostat,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,0069.npz,381,1000
Tucidinostat,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)C=Cc2cccnc2)cc1,0070.npz,332,1000
WHI-P154,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,0071.npz,406,1000
Costunolide,C=C1C(=O)OC2/C=C(\C)CC/C=C(\C)CCC12,0072.npz,406,1000
Ramelteon,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,0073.npz,375,1000
UNC0379,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,0074.npz,220,1000
Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,0075.npz,456,1000
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,0076.npz,398,1000
Resveratrol,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,0077.npz,427,1000
Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0078.npz,544,1000
Toremifene,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0079.npz,243,1000
FLLL32,COc1ccc(C=CC(=O)C2(C(=O)C=Cc3ccc(OC)c(OC)c3)CCCCC2)cc1OC,0080.npz,361,1000
Tacedinaline,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,0081.npz,466,1000
Epothilone,C/C(=C\c1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,0082.npz,182,1000
RG108,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,0083.npz,485,1000
Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,0084.npz,239,1000
BMS-754807,CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,0085.npz,136,1000
Clevudine,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,0086.npz,404,1000
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0087.npz,423,1000
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0088.npz,416,1000
AT9283,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,0089.npz,281,1000
PD173074,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,0090.npz,318,1000
Tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0091.npz,312,1000
M344,CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1,0092.npz,405,1000
Barasertib,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,0093.npz,328,1000
MK-0752,O=C(O)CCC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,0094.npz,277,1000
Nintedanib,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0095.npz,189,1000
Meprednisone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO,0096.npz,457,1000
Cimetidine,CNC(=NC#N)NCCSCc1nc[nH]c1C,0097.npz,227,1000
UNC0631,COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,0098.npz,467,1000
Gandotinib,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,0099.npz,254,1000
BRD4770,COC(=O)c1ccc2c(c1)nc(NC(=O)c1ccccc1)n2CCCc1ccccc1,0100.npz,432,1000
SL-327,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,0101.npz,318,1000
WP1066,C[C@H](NC(=O)C(C#N)=Cc1cccc(Br)n1)c1ccccc1,0102.npz,440,1000
Thiotepa,S=P(N1CC1)(N1CC1)N1CC1,0103.npz,377,1000
MK-5108,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,0104.npz,300,1000
SGI-1776,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,0105.npz,248,1000
INO-1001,NC(=O)c1cccc(N)c1,0106.npz,457,1000
JQ1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,0107.npz,471,1000
Pracinostat,CCCCc1nc2cc(C=CC(=O)NO)ccc2n1CCN(CC)CC,0108.npz,462,1000
Cerdulatinib,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl,0109.npz,354,1000
Alendronate,NCCCC(O)(P(=O)(O)O)P(=O)(O)O[Na].O.O.O,0110.npz,280,1000
Resminostat,CN(C)Cc1ccc(S(=O)(=O)n2ccc(C=CC(=O)NO)c2)cc1,0111.npz,402,1000
Cediranib,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,0112.npz,281,1000
Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0113.npz,404,1000
GSK-LSD1,Cl.Cl.c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,0114.npz,485,1000
BMS-911543,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,0115.npz,423,1000
AICAR,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,0116.npz,356,1000
PD98059,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,0117.npz,484,1000
Fedratinib,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0118.npz,170,1000
TMP195,CC(C)(CNC(=O)c1cccc(-c2noc(C(F)(F)F)n2)c1)c1coc(-c2ccccc2)n1,0119.npz,409,1000
Decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0120.npz,324,1000
AG-490,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,0121.npz,464,1000
Aurora,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,0122.npz,412,1000
GSK,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,0123.npz,426,1000
PFI-1,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,0124.npz,474,1000
AR-42,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,0125.npz,410,1000
Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,0126.npz,327,1000
SB431542,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,0127.npz,398,1000
Mesna,O=S(=O)([O-])CCS.[Na+],0128.npz,392,1000
Andarine,CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,0129.npz,480,1000
Valproic,CCCC(CCC)C(=O)[O-].[Na+],0130.npz,367,1000
CYC116,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,0131.npz,240,1000
Baricitinib,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0132.npz,513,1000
Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1.O=P(O)(O)O,0133.npz,346,1000
Belinostat,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,0134.npz,474,1000
JNJ-26854165,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,0135.npz,291,1000
Pelitinib,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0136.npz,195,1000
Busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,0137.npz,466,1000
Trichostatin,CC(C=CC(=O)NO)=C[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0138.npz,354,1000
CUDC-101,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,0139.npz,385,1000
Rigosertib,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[O-])c2)c(OC)c1.[Na+],0140.npz,60,1000
Ki8751,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,0141.npz,289,1000
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,0142.npz,352,1000
Navitoclax,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,0143.npz,221,1000
Ki16425,Cc1noc(-c2ccc(CSCCC(=O)O)cc2)c1NC(=O)OC(C)c1ccccc1Cl,0144.npz,471,1000
Mocetinostat,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,0145.npz,235,1000
Mercaptopurine,S=c1nc[nH]c2nc[nH]c12,0146.npz,160,1000
Roxadustat,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,0147.npz,488,1000
Selisistat,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,0148.npz,492,1000
Luminespib,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,0149.npz,141,1000
PF-3845,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,0150.npz,278,1000
CEP-33779,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,0151.npz,504,1000
Zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,0152.npz,383,1000
Anacardic,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,0153.npz,435,1000
AG-14361,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,0154.npz,379,1000
Lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,0155.npz,188,1000
UNC1999,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C,0156.npz,465,1000
EED226,CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,0157.npz,522,1000
Vandetanib,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,0158.npz,163,1000
NVP-BSK805,Cl.Cl.Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,0159.npz,431,1000
Temsirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OC(=O)C(C)(CO)CO)C(OC)C2)CC(=O)C(C)/C=C(\C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C/1C,0160.npz,211,1000
Glesatinib?(MGCD265),COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1,0161.npz,257,1000
MC1568,Cn1cc(C=CC(=O)c2cccc(F)c2)cc1C=CC(=O)NO,0162.npz,517,1000
Abexinostat,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,0163.npz,480,1000
Lomustine,O=NN(CCCl)C(=O)NC1CCCCC1,0164.npz,286,1000
Linifanib,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,0165.npz,267,1000
Fulvestrant,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,0166.npz,383,1000
IOX2,O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,0167.npz,438,1000
Tanespimycin,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0168.npz,195,1000
XAV-939,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,0169.npz,202,1000
TG101209,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0170.npz,191,1000
Danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,0171.npz,256,1000
AZD1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,0172.npz,182,1000
Maraviroc,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,0173.npz,380,1000
Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0174.npz,217,1000
Cyclocytidine,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12,0175.npz,203,1000
Iniparib,NC(=O)c1ccc(I)c([N+](=O)[O-])c1,0176.npz,287,1000
GSK1070916,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,0177.npz,236,1000
AC480,Cc1c(NC(=O)OCC2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,0178.npz,299,1000
ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)n[nH]1,0179.npz,374,1000
SNS-314,CS(=O)(=O)O.O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,0180.npz,248,1000
Bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0181.npz,181,1000
Pirarubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,0182.npz,86,1000
Roscovitine,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,0183.npz,345,1000
CUDC-907,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,0184.npz,282,1000
Flavopiridol,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1.Cl,0185.npz,19,1000
YM155,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],0186.npz,18,1000
Alvespimycin,COC1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O.Cl,0187.npz,16,1000
